QGC WPL 110
0	0	0	16	0	0	0	0	40.1447410583496094	-105.243423461914062	1680.3800048828125	1
1	0	3	22	15	0	0	0	40.1447398096236228	-105.237629413604736	25	1
10	0	3	16	0	5	0	0	40.1514633287	-105.243080491	422.47	1
20	0	3	16	0	5	0	0	40.1513251678	-105.242496905	412.38	1
30	0	3	16	0	5	0	0	40.1510830718	-105.241930066	395.19	1
40	0	3	16	0	5	0	0	40.1507408137	-105.241388903	372.0	1
50	0	3	16	0	5	0	0	40.1503038731	-105.240881938	344.27	1
60	0	3	16	0	5	0	0	40.149779257	-105.240417397	313.74	1
70	0	3	16	0	5	0	0	40.1491750501	-105.240002447	282.35	1
80	0	3	16	0	5	0	0	40.1485009543	-105.23964367	252.07	1
90	0	3	16	0	5	0	0	40.1477676596	-105.239346941	224.82	1
100	0	3	16	0	5	0	0	40.1469867541	-105.239116727	202.31	1
110	0	3	16	0	5	0	0	40.1461705448	-105.23895667	185.96	1
120	0	3	16	0	5	0	0	40.1453320394	-105.238869473	176.8	1
130	0	3	16	0	5	0	0	40.1444844699	-105.238856428	175.42	1
140	0	3	16	0	5	0	0	40.1436412483	-105.238917772	181.89	1
150	0	3	16	0	5	0	0	40.1428157864	-105.239052563	195.82	1
160	0	3	16	0	5	0	0	40.1420210469	-105.239258569	216.32	1
170	0	3	16	0	5	0	0	40.141269696	-105.239532499	242.1	1
180	0	3	16	0	5	0	0	40.1405736813	-105.239870241	271.53	1
190	0	3	16	0	5	0	0	40.1399438724	-105.240266153	302.75	1
200	0	3	16	0	5	0	0	40.1393903306	-105.240714125	333.81	1
210	0	3	16	0	5	0	0	40.1389218591	-105.241207106	362.73	1
220	0	3	16	0	5	0	0	40.1385458244	-105.241737221	387.69	1
230	0	3	16	0	5	0	0	40.1382681551	-105.242296129	407.12	1
240	0	3	16	0	5	0	0	40.1380932531	-105.242874908	419.79	1
250	0	3	16	0	5	0	0	40.1380239032	-105.243464422	424.91	1
260	0	3	16	0	5	0	0	40.1380612731	-105.244055347	422.15	1
270	0	3	16	0	5	0	0	40.138204734	-105.24463831	411.68	1
280	0	3	16	0	5	0	0	40.1384519504	-105.245204068	394.16	1
290	0	3	16	0	5	0	0	40.1387990594	-105.245743703	370.71	1
300	0	3	16	0	5	0	0	40.1392404916	-105.24624867	342.79	1
310	0	3	16	0	5	0	0	40.1397694196	-105.246710979	312.18	1
320	0	3	16	0	5	0	0	40.1403773096	-105.247123226	280.8	1
330	0	3	16	0	5	0	0	40.1410545495	-105.247479065	250.62	1
340	0	3	16	0	5	0	0	40.1417905392	-105.247772621	223.57	1
350	0	3	16	0	5	0	0	40.1425735108	-105.247999427	201.33	1
360	0	3	16	0	5	0	0	40.1433911573	-105.248155841	185.32	1
370	0	3	16	0	5	0	0	40.1442304353	-105.248239278	176.55	1
380	0	3	16	0	5	0	0	40.1450781126	-105.248248562	175.56	1
390	0	3	16	0	5	0	0	40.1459207233	-105.248183575	182.42	1
400	0	3	16	0	5	0	0	40.1467450175	-105.248045258	196.7	1
410	0	3	16	0	5	0	0	40.1475378705	-105.247835727	217.5	1
420	0	3	16	0	5	0	0	40.1482867061	-105.247558506	243.5	1
430	0	3	16	0	5	0	0	40.1489796666	-105.247217709	273.06	1
440	0	3	16	0	5	0	0	40.1496058821	-105.246818976	304.33	1
450	0	3	16	0	5	0	0	40.1501553816	-105.246368537	335.32	1
460	0	3	16	0	5	0	0	40.1506194513	-105.245873558	364.08	1
470	0	3	16	0	5	0	0	40.150990725	-105.245341797	388.8	1
480	0	3	16	0	5	0	0	40.1512632738	-105.244781715	407.92	1
490	0	3	16	0	5	0	0	40.1514329656	-105.244202195	420.23	1
500	0	3	16	0	5	0	0	40.1514969256	-105.243612387	424.96	1
